Meta1,Meta2,Meta3,Meta4
Value1,Value2,Value3,Value4
Time,Displacement,Force
(s),(mm),(N)
0.0000,0.0000,0.0000
0.1000,0.0100,0.8000
0.2000,0.0200,1.9000
0.3000,0.0300,3.3000
0.4000,0.0400,5.0000
0.5000,0.0500,7.1000
0.6000,0.0600,9.5000
0.7000,0.0700,12.3000
0.8000,0.0800,15.5000
0.9000,0.0900,19.1000
1.0000,0.1000,23.0000
1.1000,0.1100,27.2000
1.2000,0.1200,31.8000
1.3000,0.1300,36.7000
1.4000,0.1400,42.0000
1.5000,0.1500,47.5000
1.6000,0.1600,53.5000
1.7000,0.1700,59.8000
1.8000,0.1800,66.5000
1.9000,0.1900,73.5000
2.0000,0.2000,81.0000
