Meta1,Meta2,Meta3,Meta4
Value1,Value2,Value3,Value4
Time,Displacement,Force
(s),(mm),(N)
0.0000,0.0000,0.0000
0.1000,0.0100,0.3000
0.2000,0.0200,0.7000
0.3000,0.0300,1.2000
0.4000,0.0400,1.8000
0.5000,0.0500,2.5000
0.6000,0.0600,3.3000
0.7000,0.0700,4.2000
0.8000,0.0800,5.2000
0.9000,0.0900,6.3000
1.0000,0.1000,7.5000
1.1000,0.1100,8.8000
1.2000,0.1200,10.2000
1.3000,0.1300,11.7000
1.4000,0.1400,13.3000
1.5000,0.1500,15.0000
1.6000,0.1600,16.8000
1.7000,0.1700,18.7000
1.8000,0.1800,20.7000
1.9000,0.1900,22.8000
2.0000,0.2000,25.0000
